Date,Sum of Quantity,Sum of Consumption,Sum of By product
7/1/2024,19767.076,30972.928,5107.237
7/2/2024,9144.524,17657.731,4356.955
7/3/2024,8011.675,16885.903,3247.06
7/4/2024,10665.577,19000.938,2293.656
7/5/2024,12759.1,22602.589,3798.178
7/6/2024,8744.187,16255.583,2238.262
7/7/2024,11864.779,21253.763,3499.839
7/8/2024,16616.607,26768.031,4409.327
7/9/2024,16668.156,27634.747,4099.974
7/10/2024,16771.439,27682.056,4649.52
7/11/2024,19435.427,30760.202,4468.889
7/12/2024,18898.433,30140.366,4656.461
7/13/2024,19990.182,29869.005,3388.962
7/14/2024,19570.076,29676.576,3231.975
7/15/2024,19232.313,29576.609,3093.706
7/16/2024,19305.872,29910.985,3698.223
7/17/2024,20309.734,30962.66,3837.664
7/18/2024,22352.196,33118.984,3801.822
7/19/2024,20932.657,31092.558,4179.062
7/20/2024,22295.247,34197.387,4164.194
7/21/2024,22589.775,33226.849,4031.872
7/22/2024,21900.933,33098.305,4610.565
7/23/2024,20002.298,30382.863,4029.863
7/24/2024,22781.064,33490.962,4022.851
7/25/2024,22072.515,32429.217,3616.94
7/26/2024,21657.497,30692.165,2173.673
7/27/2024,21695.139,30517.632,2232.787
7/28/2024,23066.825,33892.096,4262.806
7/29/2024,22538.848,34075.622,4987.737
7/30/2024,21235.505,32230.821,4999.914
7/31/2024,21979.382,33997.661,5391.143
8/1/2024,21713.723,33199.788,5146.898
8/2/2024,22153.303,33999.643,5395.378
8/3/2024,21734.102,32380.84,4216.894
8/4/2024,22208.152,32656.539,3902.128
8/5/2024,20796.758,32839.471,5281.324
8/6/2024,22966.261,35056.53,5570.406
8/7/2024,19810.048,31009.407,4504.666
8/8/2024,18691.828,28865.264,4225.499
8/9/2024,21079.055,31801.434,4267.764
8/10/2024,21939.479,32814.358,4333.605
8/11/2024,22083.284,33022.925,4521.783
8/12/2024,23163.678,35024.323,5554.349
8/13/2024,19802.882,30773.175,4267.201
8/14/2024,22026.266,31996.008,3565.901
8/15/2024,22133.562,30818.487,2377.577
8/16/2024,21385.217,31849.647,3874.914
8/17/2024,23012.282,34223.365,4807.949
8/18/2024,23137.293,34407.242,5122.046
8/19/2024,20143.41,30786.339,4761.102
8/20/2024,22153.924,33423.56,4915.243
8/21/2024,20907.574,31254.263,3795.517
8/22/2024,20333.084,29935.063,3788.663
8/23/2024,22109.487,31935.462,4043.221
8/24/2024,21544.441,31131.826,3797.007
8/25/2024,20162.61,29577.568,3473.87
8/26/2024,65024.507,31317.455,4870.521
8/27/2024,20963.781,31845.095,4707.527
8/28/2024,18548.407,29626.975,4877.994
8/29/2024,21060.27,32042.048,4951.687
8/30/2024,21892.383,33503.892,5601.118
8/31/2024,19921.181,31130.391,4929.107
9/1/2024,19783.019,30533.758,4796.644
9/2/2024,17191.008,27499.203,4443.059
9/3/2024,14684.286,25089.199,4942.375
9/4/2024,15520.314,25092.979,4477.738
9/5/2024,16804.27,25308.704,2908.597
9/6/2024,18252.55,28754.816,4627.028
9/7/2024,20386.053,30167.944,4016.737
9/8/2024,19466.217,27608.798,2217.543
9/9/2024,18852.864,27004.536,2447.763
9/10/2024,20646.636,30206.776,3880.653
9/11/2024,21555.666,29935.41,2788.342
9/12/2024,20405.738,28652.647,2582.978
9/13/2024,20496.872,28291.377,1963.354
9/14/2024,20762.385,28726.638,2138.429
9/15/2024,18672.581,28408.253,4202.546
9/16/2024,16373.345,29847.176,3691.275
9/17/2024,17206.86,25774.964,2120.462
9/18/2024,17006.109,26774.475,3558.216
9/19/2024,18606.092,26692.411,2041.464
9/20/2024,19071.254,27494.709,2090.629
9/21/2024,20359.229,29841.217,3101.675
9/22/2024,20767.299,30482.651,3388.919
9/23/2024,21030,29517.85,2046.614
9/24/2024,18782.752,28390.639,3064.255
9/25/2024,18264.925,27514.681,2987.337
9/26/2024,21309.945,30603.379,3011.646
9/27/2024,21636.066,31554.71,3089.01
9/28/2024,21317.424,31660.935,3593.742
9/29/2024,17263.505,26890.206,3715.457
9/30/2024,17249.882,27297.436,4042.776
